"id","ICAO","IATA","Name","WTC","fileType","yrtext","season","year","phase","hasWTC","mean","median","p10","p90","stDev"
4,"BIKF","KEF","Keflavik",NA,"pdf","10S","Summer","10","In",FALSE,6,6,4,9,2
7,"BIKF","KEF","Keflavik",NA,"pdf","10S","Summer","10","Out",FALSE,11,10,7,14,3
1,"BIKF","KEF","Keflavik",NA,"pdf","11S","Summer","11","Out",FALSE,11,10,7,15,3
5,"BIKF","KEF","Keflavik",NA,"pdf","11S","Summer","11","In",FALSE,6,6,4,9,2
2,"BIKF","KEF","Keflavik",NA,"pdf","11W","Winter","11","In",FALSE,8,7,5,10,2
3,"BIKF","KEF","Keflavik",NA,"pdf","11W","Winter","11","Out",FALSE,11,10,7,15,3
9,"BIKF","KEF","Keflavik",NA,"pdf","12S","Summer","12","In",FALSE,7,6,4,9,2
13,"BIKF","KEF","Keflavik",NA,"pdf","12S","Summer","12","Out",FALSE,10,10,7,14,3
10,"BIKF","KEF","Keflavik",NA,"pdf","13S","Summer","13","In",FALSE,7,7,4,10,3
14,"BIKF","KEF","Keflavik",NA,"pdf","13S","Summer","13","Out",FALSE,10,10,7,14,3
12,"BIKF","KEF","Keflavik",NA,"pdf","13W","Winter","13","In",FALSE,6,6,4,9,2
16,"BIKF","KEF","Keflavik",NA,"pdf","13W","Winter","13","Out",FALSE,11,10,8,14,3
1,"BIKF","KEF","Keflavik",NA,"xlsx","14S","Summer","14","In",FALSE,6.88907284768212,7,4,9,2.94423635051223
2,"BIKF","KEF","Keflavik",NA,"xlsx","14S","Summer","14","Out",FALSE,10.6851648351648,10,8,14,3.09822693539995
10,"BIKF","KEF","Keflavik",NA,"xlsx","14W","Winter","14","In",FALSE,7.38196555217832,7,4,10,3.88148449608336
23,"BIKF","KEF","Keflavik",NA,"xlsx","14W","Winter","14","Out",FALSE,11.6986855409505,11,8,16,3.82832617032562
4,"BIKF","KEF","Keflavik",NA,"xlsx","15S","Summer","15","In",FALSE,6.81221922731357,7,4,10,2.63865028802219
11,"BIKF","KEF","Keflavik",NA,"xlsx","15S","Summer","15","Out",FALSE,11.1350114416476,11,8,15,3.23125558392996
7,"BIKF","KEF","Keflavik",NA,"xlsx","15W","Winter","15","In",FALSE,6.90559732664996,7,5,10,2.22938952940912
14,"BIKF","KEF","Keflavik",NA,"xlsx","15W","Winter","15","Out",FALSE,11.6552872606162,11,8,16,3.68117835820442
5,"BIKF","KEF","Keflavik",NA,"xlsx","16S","Summer","16","In",FALSE,6.92099096083026,6,5,10,2.70492059047747
12,"BIKF","KEF","Keflavik",NA,"xlsx","16S","Summer","16","Out",FALSE,12.9080345285525,12,9,18,4.63749055915876
8,"BIKF","KEF","Keflavik",NA,"xlsx","16W","Winter","16","In",FALSE,7.50094996833439,7,5,10,3.25614837892196
15,"BIKF","KEF","Keflavik",NA,"xlsx","16W","Winter","16","Out",FALSE,13.3710888610763,12,9,18,6.80467923950311
6,"BIKF","KEF","Keflavik",NA,"xlsx","17S","Summer","17","In",FALSE,7.50318044861065,7,5,11,3.4573625190295
13,"BIKF","KEF","Keflavik",NA,"xlsx","17S","Summer","17","Out",FALSE,13.4111551356294,13,9,19,4.33189925261046
9,"BIKF","KEF","Keflavik",NA,"xlsx","17W","Winter","17","In",FALSE,7.16549604916594,7,5,10,3.48360915055956
24,"BIKF","KEF","Keflavik",NA,"xlsx","17W","Winter","17","Out",FALSE,13.7045267489712,13,9,19,5.09408597299577
1,"BKPR","PRN","Pristina",NA,"pdf","11S","Summer","11","Out",FALSE,8,7,4,12,4
5,"BKPR","PRN","Pristina",NA,"pdf","11S","Summer","11","In",FALSE,5,4,3,8,2
2,"BKPR","PRN","Pristina",NA,"pdf","11W","Winter","11","In",FALSE,5,5,3,8,2
3,"BKPR","PRN","Pristina",NA,"pdf","11W","Winter","11","Out",FALSE,7,6,4,12,4
9,"BKPR","PRN","Pristina",NA,"pdf","12S","Summer","12","In",FALSE,5,5,3,8,2
13,"BKPR","PRN","Pristina",NA,"pdf","12S","Summer","12","Out",FALSE,7,6,3,12,4
11,"BKPR","PRN","Pristina",NA,"pdf","12W","Winter","12","In",FALSE,6,5,3,8,3
15,"BKPR","PRN","Pristina",NA,"pdf","12W","Winter","12","Out",FALSE,7,6,3,12,3
10,"BKPR","PRN","Pristina",NA,"pdf","13S","Summer","13","In",FALSE,5,5,3,8,3
14,"BKPR","PRN","Pristina",NA,"pdf","13S","Summer","13","Out",FALSE,7,6,3,13,4
1,"BKPR","PRN","Pristina",NA,"xlsx","14S","Summer","14","In",FALSE,5.42727272727273,5,4,8,1.81744338418927
2,"BKPR","PRN","Pristina",NA,"xlsx","14S","Summer","14","Out",FALSE,9.87303556658395,9,7,13,2.71513494423157
10,"BKPR","PRN","Pristina",NA,"xlsx","14W","Winter","14","In",FALSE,5.49858757062147,5,4,7,1.54828006139384
23,"BKPR","PRN","Pristina",NA,"xlsx","14W","Winter","14","Out",FALSE,10.9661971830986,9,7,17,5.43656981722684
4,"BKPR","PRN","Pristina",NA,"xlsx","15S","Summer","15","In",FALSE,5.32364990689013,5,4,7,1.6133002792261
11,"BKPR","PRN","Pristina",NA,"xlsx","15S","Summer","15","Out",FALSE,9.66703869047619,9,7,12,2.83401370036918
7,"BKPR","PRN","Pristina",NA,"xlsx","15W","Winter","15","In",FALSE,5.59867229933615,5,4,8,1.69756095972777
14,"BKPR","PRN","Pristina",NA,"xlsx","15W","Winter","15","Out",FALSE,10.8780193236715,10,7,16,4.828750747189
5,"BKPR","PRN","Pristina",NA,"xlsx","16S","Summer","16","In",FALSE,5.57261146496815,5,4,8,1.99987611801639
12,"BKPR","PRN","Pristina",NA,"xlsx","16S","Summer","16","Out",FALSE,10.1172523961661,9,7,13,4.32840028369073
8,"BKPR","PRN","Pristina",NA,"xlsx","16W","Winter","16","In",FALSE,5.56905749851808,5,4,8,1.69880720163211
15,"BKPR","PRN","Pristina",NA,"xlsx","16W","Winter","16","Out",FALSE,11.0349940688019,9,7,17,5.61879715894051
6,"BKPR","PRN","Pristina",NA,"xlsx","17S","Summer","17","In",FALSE,5.58273155416013,5,4,8,1.75389464642003
13,"BKPR","PRN","Pristina",NA,"xlsx","17S","Summer","17","Out",FALSE,10.1984924623116,10,8,13,2.74331522735505
9,"BKPR","PRN","Pristina",NA,"xlsx","17W","Winter","17","In",FALSE,5.6591048436542,5,4,8,2.56790744499413
24,"BKPR","PRN","Pristina",NA,"xlsx","17W","Winter","17","Out",FALSE,11.8979591836735,10,8,20,6.36212120122103
1,"CYQB","YQB","Quebec/J.Lesage Intl",NA,"pdf","11S","Summer","11","Out",FALSE,14,14,11,19,3
5,"CYQB","YQB","Quebec/J.Lesage Intl",NA,"pdf","11S","Summer","11","In",FALSE,6,6,3,10,3
4,"CYUL","YUL","Montreal/Dorval",NA,"pdf","10S","Summer","10","In",FALSE,7,6,4,11,4
7,"CYUL","YUL","Montreal/Dorval",NA,"pdf","10S","Summer","10","Out",FALSE,18,17,13,24,7
6,"CYUL","YUL","Montreal/Dorval",NA,"pdf","10W","Winter","10","In",FALSE,7,6,4,10,4
8,"CYUL","YUL","Montreal/Dorval",NA,"pdf","10W","Winter","10","Out",FALSE,25,20,14,45,13
1,"CYUL","YUL","Montreal/Dorval",NA,"pdf","11S","Summer","11","Out",FALSE,20,19,14,26,8
5,"CYUL","YUL","Montreal/Dorval",NA,"pdf","11S","Summer","11","In",FALSE,8,7,4,12,8
2,"CYUL","YUL","Montreal/Dorval",NA,"pdf","11W","Winter","11","In",FALSE,7,6,4,12,4
3,"CYUL","YUL","Montreal/Dorval",NA,"pdf","11W","Winter","11","Out",FALSE,24,20,15,40,13
9,"CYUL","YUL","Montreal/Dorval",NA,"pdf","12S","Summer","12","In",FALSE,8,7,4,12,4
13,"CYUL","YUL","Montreal/Dorval",NA,"pdf","12S","Summer","12","Out",FALSE,20,19,14,26,7
11,"CYUL","YUL","Montreal/Dorval",NA,"pdf","12W","Winter","12","In",FALSE,7,6,4,10,5
15,"CYUL","YUL","Montreal/Dorval",NA,"pdf","12W","Winter","12","Out",FALSE,24,19,14,43,13
10,"CYUL","YUL","Montreal/Dorval",NA,"pdf","13S","Summer","13","In",FALSE,7,6,4,10,4
14,"CYUL","YUL","Montreal/Dorval",NA,"pdf","13S","Summer","13","Out",FALSE,19,18,14,25,6
12,"CYUL","YUL","Montreal/Dorval",NA,"pdf","13W","Winter","13","In",FALSE,7,6,4,10,4
16,"CYUL","YUL","Montreal/Dorval",NA,"pdf","13W","Winter","13","Out",FALSE,25,20,15,42,13
1,"CYUL","YUL","Montreal/Dorval",NA,"xlsx","14S","Summer","14","In",FALSE,7.12938105891126,6,4,10,4.27557381333259
2,"CYUL","YUL","Montreal/Dorval",NA,"xlsx","14S","Summer","14","Out",FALSE,18.6797773654917,18,14,24,6.27247696569972
10,"CYUL","YUL","Montreal/Dorval",NA,"xlsx","14W","Winter","14","In",FALSE,7.60869565217391,7,4,11,4.21938427514338
23,"CYUL","YUL","Montreal/Dorval",NA,"xlsx","14W","Winter","14","Out",FALSE,25.3604060913706,20,15,47,13.4964258983645
4,"CYUL","YUL","Montreal/Dorval",NA,"xlsx","15S","Summer","15","In",FALSE,8.31670205237084,7,5,12,6.00511733582588
11,"CYUL","YUL","Montreal/Dorval",NA,"xlsx","15S","Summer","15","Out",FALSE,19.695436858861,19,14,25,6.21468853210883
